"","X","Batch_id","time","Longitude","Latitude","x","y","z","velocity","x_raw","y_raw","z_raw","label","x_ratio_speed","x_ratio_z"
"42",45,73,"2017-10-15 13:43:06.167",36.76377207,-1.29767628,-0.002,0,-0.003,9.42374362041,-0.413,0.621757482076,-1.61327244623,0,-0.0438254707084265,0.256001397014574
"43",46,73,"2017-10-15 13:43:06.271",36.76377207,-1.29767628,-0.003,-0.002,0.007,9.42374362041,-0.725,0.413757482076,-0.885272446228,0,-0.0769333323574074,0.818956924604516
"44",47,73,"2017-10-15 13:43:06.375",36.76377207,-1.29767628,0.008,-0.009,0.006,9.42374362041,0.107,-0.522242517924,-0.261272446228,0,0.0113542987065415,-0.409534191395851
"45",48,73,"2017-10-15 13:43:06.479",36.76377207,-1.29767628,0.005,0.003,-0.001,9.42374362041,0.627,-0.210242517924,-0.365272446228,0,0.0665340681215096,-1.71652695535823
"46",49,73,"2017-10-15 13:43:06.583",36.76377207,-1.29767628,-0.006,0.008,-0.002,9.42374362041,0.003,0.621757482076,-0.573272446228,0,0.000318344823547893,-0.0052331138880637
"47",50,73,"2017-10-15 13:43:06.686",36.76377207,-1.29767628,-0.006,-0.001,-0.003,9.42374362041,-0.615,0.518757482076,-0.882272446228,0,-0.065260688827318,0.697063591444257
"48",51,73,"2017-10-15 13:43:06.791",36.76377207,-1.29767628,-0.001,-0.007,-0.006,9.42374362041,-0.72,-0.216242517924,-1.51227244623,0,-0.0764027576514942,0.476104687217515
"49",52,73,"2017-10-15 13:43:06.894",36.76377207,-1.29767628,0.003,0.002,-0.004,9.42374362041,-0.411,-0.0102425179241,-1.92427244623,0,-0.0436132408260613,0.213587218798057
"50",54,73,"2017-10-15 13:43:06.995",36.76376524,-1.29768315,0.006,0.007,0.017,1.07705287941,0.195,0.696757482076,-0.207272446228,0,0.181049606502904,-0.940790749318893
"51",55,73,"2017-10-15 13:43:07.097",36.76376524,-1.29768315,0.001,-0.002,0.014,1.07705287941,0.297,0.492757482076,1.22072755377,0,0.27575247759673,0.243297531118036
"52",56,73,"2017-10-15 13:43:07.201",36.76376524,-1.29768315,-0.002,-0.009,0.001,1.07705287941,0.089,-0.443242517924,1.32472755377,0,0.0826328973269663,0.0671836256041612
"53",57,73,"2017-10-15 13:43:07.304",36.76376524,-1.29768315,0.002,-0.004,-0.01,1.07705287941,0.295,-0.855242517924,0.294727553772,0,0.273895558555675,1.00092440026225
"54",58,73,"2017-10-15 13:43:07.408",36.76376524,-1.29768315,-0.001,0.01,-0.027,1.07705287941,0.191,0.184757482076,-2.51327244623,0,0.177335768420793,-0.075996536024778
"55",59,73,"2017-10-15 13:43:07.512",36.76376524,-1.29768315,0.004,0.003,0.017,1.07705287941,0.607,0.496757482076,-0.745272446228,0,0.563574928960321,-0.81446725029507
"56",60,73,"2017-10-15 13:43:07.616",36.76376524,-1.29768315,0.001,-0.006,0.016,1.07705287941,0.711,-0.127242517924,0.918727553772,0,0.660134719095203,0.773896458292627
"57",61,73,"2017-10-15 13:43:07.720",36.76376524,-1.29768315,-0.007,-0.005,-0.011,1.07705287941,-0.017,-0.647242517924,-0.225272446228,0,-0.0157838118489711,0.0754641780859172
"58",62,73,"2017-10-15 13:43:07.824",36.76376524,-1.29768315,-0.006,0,-0.005,1.07705287941,-0.641,-0.647242517924,-0.745272446228,0,-0.595142552658263,0.860088150641088
"59",63,73,"2017-10-15 13:43:07.928",36.76376524,-1.29768315,-0.001,0.003,0.006,1.07705287941,-0.745,-0.335242517924,-0.121272446228,0,-0.691702342793145,6.14319264739949
"60",65,73,"2017-10-15 13:43:08.031",36.76376322,-1.29769128,0.007,0.007,-0.002,0.933353763982,-0.024,0.385757482076,-0.327272446228,0,-0.0257137228413886,0.0733333963082245
"61",66,73,"2017-10-15 13:43:08.135",36.76376322,-1.29769128,0.003,0.001,0.007,0.933353763982,0.288,0.489757482076,0.400727553772,0,0.308564674096663,0.718692780890884
"62",67,73,"2017-10-15 13:43:08.238",36.76376322,-1.29769128,0.001,-0.001,0.016,0.933353763982,0.391,0.386757482076,2.04872755377,0,0.418919401290956,0.190850169062497
"63",68,73,"2017-10-15 13:43:08.342",36.76376322,-1.29769128,-0.002,-0.004,-0.009,0.933353763982,0.183,-0.0292425179241,1.11272755377,0,0.196067136665588,0.164460742775698
"64",69,73,"2017-10-15 13:43:08.446",36.76376322,-1.29769128,-0.004,-0.009,0.003,0.933353763982,-0.233,-0.965242517924,1.42472755377,0,-0.249637392585148,-0.163540039205007
"65",70,73,"2017-10-15 13:43:08.551",36.76376322,-1.29769128,0,0.006,-0.006,0.933353763982,-0.233,-0.335242517924,0.794727553772,0,-0.249637392585148,-0.293182234457729
"66",71,73,"2017-10-15 13:43:08.653",36.76376322,-1.29769128,0.002,0.006,0.002,0.933353763982,-0.029,0.276757482076,0.998727553772,0,-0.0310707484333446,-0.0290369479548978
"67",72,73,"2017-10-15 13:43:08.758",36.76376322,-1.29769128,0.004,-0.007,-0.006,0.933353763982,0.391,-0.458242517924,0.368727553772,0,0.418919401290956,1.06040353100862
"68",73,73,"2017-10-15 13:43:08.862",36.76376322,-1.29769128,-0.003,0.001,-0.005,0.933353763982,0.079,-0.354242517924,-0.151272446228,0,0.0846410043529042,-0.522236547169536
"69",74,73,"2017-10-15 13:43:08.965",36.76376322,-1.29769128,-0.003,0.004,0.001,0.933353763982,-0.23,0.0577574820759,-0.0482724462277,0,-0.246423177229974,4.76462284333169
"70",76,73,"2017-10-15 13:43:09.069",36.76375312,-1.29769852,0.002,-0.001,0.003,1.37606877144,-0.022,-0.0462425179241,0.263727553772,0,-0.015987573046206,-0.0834194216165203
"71",77,73,"2017-10-15 13:43:09.173",36.76375312,-1.29769852,-0.002,-0.001,-0.004,1.37606877144,-0.23,-0.150242517924,-0.152272446228,0,-0.167142809119427,1.51045054898256
"72",78,73,"2017-10-15 13:43:09.276",36.76375312,-1.29769852,0,-0.001,-0.006,1.37606877144,-0.23,-0.253242517924,-0.770272446228,0,-0.167142809119427,0.29859564771699
"73",79,73,"2017-10-15 13:43:09.380",36.76375312,-1.29769852,0.002,0.001,-0.001,1.37606877144,-0.022,-0.149242517924,-0.874272446228,0,-0.015987573046206,0.0251637805754005
"74",80,73,"2017-10-15 13:43:09.485",36.76375312,-1.29769852,0.001,0.001,0.002,1.37606877144,0.083,-0.0442425179241,-0.664272446228,0,0.060316752856141,-0.124948732212674
"75",81,73,"2017-10-15 13:43:09.588",36.76375312,-1.29769852,-0.001,-0.002,0.003,1.37606877144,-0.02,-0.250242517924,-0.355272446228,0,-0.0145341573147328,0.0562948244715966
"76",82,73,"2017-10-15 13:43:09.692",36.76375312,-1.29769852,0,-0.001,0.001,1.37606877144,-0.02,-0.354242517924,-0.251272446228,0,-0.0145341573147328,0.0795948791848525
"77",83,73,"2017-10-15 13:43:09.796",36.76375312,-1.29769852,-0.001,0.002,-0.001,1.37606877144,-0.124,-0.146242517924,-0.355272446228,0,-0.0901117753513431,0.349027911723899
"78",84,73,"2017-10-15 13:43:09.900",36.76375312,-1.29769852,0,0.001,-0.004,1.37606877144,-0.124,-0.0422425179241,-0.771272446228,0,-0.0901117753513431,0.160773278763473
"79",86,73,"2017-10-15 13:43:10.007",36.76376389,-1.29769391,0.001,-0.001,0,1.2997845464,-0.017,-0.149242517924,-0.771272446228,0,-0.0130790907209081,0.0220414978949923
"80",87,73,"2017-10-15 13:43:10.111",36.76376389,-1.29769391,0.002,-0.002,0.009,1.2997845464,0.191,-0.357242517924,0.164727553772,0,0.146947431040791,1.15949029549946
"81",88,73,"2017-10-15 13:43:10.215",36.76376389,-1.29769391,-0.002,0,-0.008,1.2997845464,-0.017,-0.357242517924,-0.667272446228,0,-0.0130790907209081,0.0254768499675038
"82",89,73,"2017-10-15 13:43:10.319",36.76376389,-1.29769391,-0.002,0.003,0.007,1.2997845464,-0.225,-0.0452425179241,0.0607275537723,0,-0.173105612482607,-3.7050726733312
"83",90,73,"2017-10-15 13:43:10.424",36.76376389,-1.29769391,0.001,-0.002,-0.006,1.2997845464,-0.12,-0.255242517924,-0.569272446228,0,-0.0923229933240573,0.21079537714344
"84",91,73,"2017-10-15 13:43:10.526",36.76376389,-1.29769391,0,-0.001,0.003,1.2997845464,-0.12,-0.357242517924,-0.263272446228,0,-0.0923229933240573,0.455801591542463
"85",92,73,"2017-10-15 13:43:10.630",36.76376389,-1.29769391,-0.001,0,-0.008,1.2997845464,-0.224,-0.357242517924,-1.09527244623,0,-0.172336254204907,0.204515324722194
"86",93,73,"2017-10-15 13:43:10.734",36.76376389,-1.29769391,0.001,0,-0.005,1.2997845464,-0.12,-0.357242517924,-1.61527244623,0,-0.0923229933240573,0.0742908728989197
"87",94,73,"2017-10-15 13:43:10.838",36.76376389,-1.29769391,0.001,0.001,0.012,1.2997845464,-0.016,-0.253242517924,-0.367272446228,0,-0.0123097324432076,0.0435643897720204
"88",95,73,"2017-10-15 13:43:10.942",36.76376389,-1.29769391,0.001,-0.001,0.004,1.2997845464,0.088,-0.357242517924,0.0487275537723,0,0.067703528437642,1.80595973299249
"89",97,73,"2017-10-15 13:43:11.045",36.7637694,-1.2976926,0.001,-0.001,0.002,0.631503600048,0.191,-0.460242517924,0.254727553772,0,0.302452749256667,0.749820728742047
"90",98,73,"2017-10-15 13:43:11.149",36.7637694,-1.2976926,0,0.001,0.003,0.631503600048,0.191,-0.356242517924,0.566727553772,0,0.302452749256667,0.337022611180188
"91",99,73,"2017-10-15 13:43:11.253",36.7637694,-1.2976926,0,0.001,-0.001,0.631503600048,0.191,-0.252242517924,0.462727553772,0,0.302452749256667,0.412769886822239
"92",100,73,"2017-10-15 13:43:11.357",36.7637694,-1.2976926,0,-0.001,0.001,0.631503600048,0.191,-0.356242517924,0.566727553772,0,0.302452749256667,0.337022611180188
"93",101,73,"2017-10-15 13:43:11.463",36.7637694,-1.2976926,0,-0.001,0,0.631503600048,0.191,-0.462242517924,0.566727553772,0,0.302452749256667,0.337022611180188
"94",102,73,"2017-10-15 13:43:11.564",36.7637694,-1.2976926,-0.002,0,-0.014,0.631503600048,-0.011,-0.462242517924,-0.847272446228,0,-0.0174187447215881,0.0129828369244996
"95",103,73,"2017-10-15 13:43:11.668",36.7637694,-1.2976926,-0.001,0.001,-0.005,0.631503600048,-0.115,-0.358242517924,-1.36727244623,0,-0.182105058452967,0.0841090598417975
"96",104,73,"2017-10-15 13:43:11.773",36.7637694,-1.2976926,0,-0.001,-0.003,0.631503600048,-0.115,-0.463242517924,-1.68227244623,0,-0.182105058452967,0.0683599141492907
"97",105,73,"2017-10-15 13:43:11.876",36.7637694,-1.2976926,0.002,0,0.01,0.631503600048,0.091,-0.463242517924,-0.652272446228,0,0.144100524514956,-0.139512255233592
"98",106,73,"2017-10-15 13:43:11.981",36.7637694,-1.2976926,0.001,0.001,0.008,0.631503600048,0.196,-0.358242517924,0.187727553772,0,0.310370360493752,1.04406623354847
"99",108,73,"2017-10-15 13:43:12.083",36.76376679,-1.29769364,0,0.001,0.005,0.30863745879,0.196,-0.256242517924,0.697727553772,0,0.635049293006784,0.280911938965862
"100",109,73,"2017-10-15 13:43:12.188",36.76376679,-1.29769364,-0.001,-0.001,-0.005,0.30863745879,0.091,-0.361242517924,0.172727553772,0,0.294844314610293,0.526841248039209
"101",110,73,"2017-10-15 13:43:12.291",36.76376679,-1.29769364,-0.002,-0.002,-0.015,0.30863745879,-0.115,-0.567242517924,-1.37227244623,0,-0.372605452529491,0.0838026007998163
"102",111,73,"2017-10-15 13:43:12.395",36.76376679,-1.29769364,0,0,0,0.30863745879,-0.115,-0.567242517924,-1.37227244623,0,-0.372605452529491,0.0838026007998163
"103",112,73,"2017-10-15 13:43:12.498",36.76376679,-1.29769364,0,0,0.002,0.30863745879,-0.115,-0.567242517924,-1.16627244623,0,-0.372605452529491,0.0986047474342208
"104",113,73,"2017-10-15 13:43:12.602",36.76376679,-1.29769364,0,0,0.003,0.30863745879,-0.115,-0.567242517924,-0.854272446228,0,-0.372605452529491,0.134617475382446
"105",114,73,"2017-10-15 13:43:12.706",36.76376679,-1.29769364,0.001,0.001,0.013,0.30863745879,-0.011,-0.463242517924,0.497727553772,0,-0.0356405215462991,-0.0221004441418546
"106",115,73,"2017-10-15 13:43:12.810",36.76376679,-1.29769364,0,0,0.004,0.30863745879,-0.011,-0.463242517924,0.913727553772,0,-0.0356405215462991,-0.0120385994212284
"107",116,73,"2017-10-15 13:43:12.914",36.76376679,-1.29769364,0,0,-0.002,0.30863745879,-0.011,-0.463242517924,0.705727553772,0,-0.0356405215462991,-0.0155867514895894
"108",118,73,"2017-10-15 13:43:13.025",36.76376709,-1.29769379,-0.002,-0.002,-0.016,0.0378177084634,-0.233,-0.685242517924,-1.07027244623,0,-6.16113480872321,0.217701577594317
"109",119,73,"2017-10-15 13:43:13.126",36.76376709,-1.29769379,0,0.001,0.005,0.0378177084634,-0.233,-0.584242517924,-0.565272446228,0,-6.16113480872321,0.412190619859119
"110",120,73,"2017-10-15 13:43:13.230",36.76376709,-1.29769379,-0.001,0,-0.005,0.0378177084634,-0.337,-0.584242517924,-1.08527244623,0,-8.91116922978421,0.310521105710059
"111",121,73,"2017-10-15 13:43:13.334",36.76376709,-1.29769379,-0.001,-0.001,-0.005,0.0378177084634,-0.441,-0.688242517924,-1.60527244623,0,-11.6612036508452,0.27471972189873
"112",122,73,"2017-10-15 13:43:13.438",36.76376709,-1.29769379,0,0,0.001,0.0378177084634,-0.441,-0.688242517924,-1.50127244623,0,-11.6612036508452,0.293750811924538
"113",123,73,"2017-10-15 13:43:13.543",36.76376709,-1.29769379,0.001,0,0.003,0.0378177084634,-0.336,-0.688242517924,-1.18627244623,0,-8.88472659112016,0.283240162129547
"114",124,73,"2017-10-15 13:43:13.646",36.76376709,-1.29769379,0.001,0,0.008,0.0378177084634,-0.233,-0.688242517924,-0.362272446228,0,-6.16113480872321,0.64316235591751
"115",125,73,"2017-10-15 13:43:13.749",36.76376709,-1.29769379,0.001,0.001,0.011,0.0378177084634,-0.13,-0.585242517924,0.770727553772,0,-3.43754302632625,-0.168671795063989
"116",126,73,"2017-10-15 13:43:13.855",36.76376709,-1.29769379,0,0,-0.004,0.0378177084634,-0.13,-0.585242517924,0.346727553772,0,-3.43754302632625,-0.374934148110666
