,Batch id, time, Longitude, Latitude,x,y,z,velocity,x_raw,y_raw,z_raw,label,speedbump,pothole
81,73,43:09.6,36.76375312,-1.29769852,-0.001,-0.002,0.003,1.376068771,-0.02,-0.250242518,-0.355272446,0,0,0
82,73,43:09.7,36.76375312,-1.29769852,0,-0.001,0.001,1.376068771,-0.02,-0.354242518,-0.251272446,0,0,0
83,73,43:09.8,36.76375312,-1.29769852,-0.001,0.002,-0.001,1.376068771,-0.124,-0.146242518,-0.355272446,0,0,0
84,73,43:09.9,36.76375312,-1.29769852,0,0.001,-0.004,1.376068771,-0.124,-0.042242518,-0.771272446,0,0,0
86,73,43:10.0,36.76376389,-1.29769391,0.001,-0.001,0,1.299784546,-0.017,-0.149242518,-0.771272446,0,0,0
87,73,43:10.1,36.76376389,-1.29769391,0.002,-0.002,0.009,1.299784546,0.191,-0.357242518,0.164727554,0,0,0
88,73,43:10.2,36.76376389,-1.29769391,-0.002,0,-0.008,1.299784546,-0.017,-0.357242518,-0.667272446,0,0,0
89,73,43:10.3,36.76376389,-1.29769391,-0.002,0.003,0.007,1.299784546,-0.225,-0.045242518,0.060727554,0,0,0
90,73,43:10.4,36.76376389,-1.29769391,0.001,-0.002,-0.006,1.299784546,-0.12,-0.255242518,-0.569272446,0,0,0
91,73,43:10.5,36.76376389,-1.29769391,0,-0.001,0.003,1.299784546,-0.12,-0.357242518,-0.263272446,0,0,0
92,73,43:10.6,36.76376389,-1.29769391,-0.001,0,-0.008,1.299784546,-0.224,-0.357242518,-1.095272446,0,0,0
93,73,43:10.7,36.76376389,-1.29769391,0.001,0,-0.005,1.299784546,-0.12,-0.357242518,-1.615272446,0,0,0
94,73,43:10.8,36.76376389,-1.29769391,0.001,0.001,0.012,1.299784546,-0.016,-0.253242518,-0.367272446,0,0,0
95,73,43:10.9,36.76376389,-1.29769391,0.001,-0.001,0.004,1.299784546,0.088,-0.357242518,0.048727554,0,0,0
97,73,43:11.0,36.7637694,-1.2976926,0.001,-0.001,0.002,0.6315036,0.191,-0.460242518,0.254727554,0,0,0
98,73,43:11.1,36.7637694,-1.2976926,0,0.001,0.003,0.6315036,0.191,-0.356242518,0.566727554,0,0,0
99,73,43:11.3,36.7637694,-1.2976926,0,0.001,-0.001,0.6315036,0.191,-0.252242518,0.462727554,0,0,0
100,73,43:11.4,36.7637694,-1.2976926,0,-0.001,0.001,0.6315036,0.191,-0.356242518,0.566727554,0,0,0
101,73,43:11.5,36.7637694,-1.2976926,0,-0.001,0,0.6315036,0.191,-0.462242518,0.566727554,0,0,0
102,73,43:11.6,36.7637694,-1.2976926,-0.002,0,-0.014,0.6315036,-0.011,-0.462242518,-0.847272446,0,0,0
103,73,43:11.7,36.7637694,-1.2976926,-0.001,0.001,-0.005,0.6315036,-0.115,-0.358242518,-1.367272446,0,0,0
104,73,43:11.8,36.7637694,-1.2976926,0,-0.001,-0.003,0.6315036,-0.115,-0.463242518,-1.682272446,0,0,0
105,73,43:11.9,36.7637694,-1.2976926,0.002,0,0.01,0.6315036,0.091,-0.463242518,-0.652272446,0,0,0
106,73,43:12.0,36.7637694,-1.2976926,0.001,0.001,0.008,0.6315036,0.196,-0.358242518,0.187727554,0,0,0
108,73,43:12.1,36.76376679,-1.29769364,0,0.001,0.005,0.308637459,0.196,-0.256242518,0.697727554,0,0,0
109,73,43:12.2,36.76376679,-1.29769364,-0.001,-0.001,-0.005,0.308637459,0.091,-0.361242518,0.172727554,0,0,0
110,73,43:12.3,36.76376679,-1.29769364,-0.002,-0.002,-0.015,0.308637459,-0.115,-0.567242518,-1.372272446,0,0,0
111,73,43:12.4,36.76376679,-1.29769364,0,0,0,0.308637459,-0.115,-0.567242518,-1.372272446,0,0,0
112,73,43:12.5,36.76376679,-1.29769364,0,0,0.002,0.308637459,-0.115,-0.567242518,-1.166272446,0,0,0
113,73,43:12.6,36.76376679,-1.29769364,0,0,0.003,0.308637459,-0.115,-0.567242518,-0.854272446,0,0,0
114,73,43:12.7,36.76376679,-1.29769364,0.001,0.001,0.013,0.308637459,-0.011,-0.463242518,0.497727554,0,0,0
115,73,43:12.8,36.76376679,-1.29769364,0,0,0.004,0.308637459,-0.011,-0.463242518,0.913727554,0,0,0
116,73,43:12.9,36.76376679,-1.29769364,0,0,-0.002,0.308637459,-0.011,-0.463242518,0.705727554,0,0,0
118,73,43:13.0,36.76376709,-1.29769379,-0.002,-0.002,-0.016,0.037817708,-0.233,-0.685242518,-1.070272446,0,0,0
119,73,43:13.1,36.76376709,-1.29769379,0,0.001,0.005,0.037817708,-0.233,-0.584242518,-0.565272446,0,0,0
120,73,43:13.2,36.76376709,-1.29769379,-0.001,0,-0.005,0.037817708,-0.337,-0.584242518,-1.085272446,0,0,0
121,73,43:13.3,36.76376709,-1.29769379,-0.001,-0.001,-0.005,0.037817708,-0.441,-0.688242518,-1.605272446,0,0,0
122,73,43:13.4,36.76376709,-1.29769379,0,0,0.001,0.037817708,-0.441,-0.688242518,-1.501272446,0,0,0
123,73,43:13.5,36.76376709,-1.29769379,0.001,0,0.003,0.037817708,-0.336,-0.688242518,-1.186272446,0,0,0
124,73,43:13.6,36.76376709,-1.29769379,0.001,0,0.008,0.037817708,-0.233,-0.688242518,-0.362272446,0,0,0
125,73,43:13.7,36.76376709,-1.29769379,0.001,0.001,0.011,0.037817708,-0.13,-0.585242518,0.770727554,0,0,0
126,73,43:13.9,36.76376709,-1.29769379,0,0,-0.004,0.037817708,-0.13,-0.585242518,0.346727554,0,0,0
127,73,43:14.0,36.76376709,-1.29769379,-0.002,-0.001,-0.008,0.037817708,-0.334,-0.687242518,-0.469272446,0,0,0
129,73,43:14.1,36.76376621,-1.29769425,-0.002,-0.002,-0.01,0.109190483,-0.542,-0.895242518,-1.509272446,0,0,0
130,73,43:14.2,36.76376621,-1.29769425,-0.002,0,-0.015,0.109190483,-0.75,-0.895242518,-3.069272446,0,0,0
131,73,43:14.3,36.76376621,-1.29769425,0,0,0.003,0.109190483,-0.75,-0.895242518,-2.757272446,0,0,0
132,73,43:14.4,36.76376621,-1.29769425,0,0,0.004,0.109190483,-0.75,-0.895242518,-2.345272446,0,0,0
133,73,43:14.5,36.76376621,-1.29769425,0.001,0,0,0.109190483,-0.646,-0.895242518,-2.345272446,0,0,0
134,73,43:14.6,36.76376621,-1.29769425,0.002,0.002,0.018,0.109190483,-0.438,-0.687242518,-0.473272446,0,0,0
135,73,43:14.7,36.76376621,-1.29769425,-0.001,0.001,-0.005,0.109190483,-0.542,-0.583242518,-0.993272446,0,0,0
136,73,43:14.8,36.76376621,-1.29769425,0,-0.002,-0.004,0.109190483,-0.542,-0.791242518,-1.409272446,0,0,0
137,73,43:14.9,36.76376621,-1.29769425,0,0.002,0.001,0.109190483,-0.542,-0.585242518,-1.306272446,0,0,0
139,73,43:15.0,36.76376488,-1.29769387,0,-0.002,0.006,0.15611236,-0.542,-0.791242518,-0.688272446,0,0,0
140,73,43:15.1,36.76376488,-1.29769387,-0.001,-0.001,-0.003,0.15611236,-0.647,-0.896242518,-1.003272446,0,0,0
141,73,43:15.2,36.76376488,-1.29769387,0.001,-0.001,0.002,0.15611236,-0.543,-1.000242518,-0.795272446,0,0,0
142,73,43:15.3,36.76376488,-1.29769387,0.002,0.005,0.003,0.15611236,-0.337,-0.485242518,-0.486272446,0,0,0
143,73,43:15.4,36.76376488,-1.29769387,-0.001,-0.001,-0.008,0.15611236,-0.441,-0.589242518,-1.318272446,0,0,0
144,73,43:15.5,36.76376488,-1.29769387,-0.002,-0.006,-0.002,0.15611236,-0.651,-1.219242518,-1.528272446,0,0,0
145,73,43:15.6,36.76376488,-1.29769387,0,0.009,0,0.15611236,-0.651,-0.292242518,-1.528272446,0,0,0
